Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
F,23,,,QAT,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,21,,,EOR,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,36,,,KUW,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,31,1.87,,QAT,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,20,,,YEM,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,24,,,KSA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,21,1.6,,GEO,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,30,,,ISR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,28,,,IRI,2020,Summer,Tokyo,,Table Tennis Men's Team
M,23,1.85,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,34,1.68,,CAN,2020,Summer,Tokyo,,Rugby Sevens Women's Rugby Sevens
M,29,,,ESP,2020,Summer,Tokyo,,Triathlon Men's Olympic Distance
M,27,,,CUB,2020,Summer,Tokyo,Bronze,Taekwondo Men's Flyweight
M,41,,,ARG,2020,Summer,Tokyo,,Men's Equestrian
M,23,1.91,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,27,,,TUR,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,21,,,NED,2020,Summer,Tokyo,Gold,Hockey Women's Hockey
F,27,,,ARG,2020,Summer,Tokyo,Silver,Hockey Women's Hockey
M,30,1.78,,FRA,2020,Summer,Tokyo,Silver,Basketball Men's Basketball
M,39,,,BRA,2020,Summer,Tokyo,,Sailing Men's Two Person Dinghy
M,20,1.81,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,23,1.94,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,23,,,KSA,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,30,,,EOR,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
M,21,1.77,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,29,1.71,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,28,1.83,,AUS,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,36,1.84,,ESP,2020,Summer,Tokyo,,Hockey Men's Hockey
F,26,1.76,,ROC,2020,Summer,Tokyo,,"Tennis Women's Singles, Covered Courts"
