Sex,NOC,Height,Weight,Age,Season,City,Year,Event,Medal
F,IND,0.0,0.0,30.0,Summer,Paris,2024,Shooting 50m Rifle 3 Positions Women,
F,IND,0.0,0.0,33.0,Summer,Paris,2024,Shooting Trap Women,
F,IND,0.0,0.0,22.0,Summer,Paris,2024,"Shooting 10m Air Pistol Women, 25m Pistol Women, 10m Air Pistol Mixed Team",Bronze
M,AIN,0.0,0.0,25.0,Summer,Paris,2024,"Rowing ""Mens Single Sculls""",Silver
F,IND,0.0,0.0,25.0,Summer,Paris,2024,"Shooting 10m Air Rifle Women, 10m Air Rifle Mixed Team",
M,IND,0.0,0.0,31.0,Summer,Paris,2024,"Table Tennis ""Mens Singles"", ""Mens Team""",
F,IND,0.0,0.0,24.0,Summer,Paris,2024,"Table Tennis ""Womens Team""",
F,VIN,0.0,0.0,17.0,Summer,Paris,2024,"Swimming ""Womens 50m Freestyle""",
M,VIN,0.0,0.0,21.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
F,ARG,0.0,0.0,31.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,29.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,34.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,22.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,20.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,19.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,27.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,28.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,29.0,Summer,Paris,2024,Hockey Women,
F,ARG,0.0,0.0,25.0,Summer,Paris,2024,Hockey Women,
